phase,step,T_K,Phi_global,wall_s,P_total_bar,H2O,CO2,H2,CO,CH4,N2,NH3,S2,SO2,H2S
cooling,0,3000.0,1.0,0.29830408096313477,1444.7348693388055,5.563164072888463,342.0028510267699,2.3782307598350814,1086.8419668666843,2.1898500473372933e-06,7.757534916211047,8.032812041120466e-05,0.002515093681140552,0.172398605954588,0.004982790047495348
cooling,1,2937.5,1.0,0.0009467601776123047,1445.1900400132317,5.562948226629907,343.71558312709925,2.414843953298539,1085.5787828539858,2.756038236811897e-06,7.761028624102354,8.586412054368716e-05,0.0023116761299272017,0.14200599715549578,0.005414168626906644
cooling,2,2875.0,1.0,0.0009129047393798828,1445.6801680035746,5.562719339691129,345.51107393960484,2.4536485004973043,1084.2595651835534,3.503455993193518e-06,7.7647081894368615,9.204808561097284e-05,0.002116805114351593,0.1159856741503172,0.005903985033141064
cooling,3,2812.5,1.0,0.0009019374847412109,1446.205729286294,5.5624761662343705,347.39516657665587,2.494841745875474,1082.8796482267082,4.501295810749499e-06,7.768582589937263,9.898297258723675e-05,0.00193068435950187,0.09388223433354137,0.006462763693137054
cooling,4,2750.0,1.0,0.0009381771087646484,1446.7675692451464,5.562217304650431,349.3742944885271,2.5386449212303734,1081.433959569023,5.849557997151642e-06,7.772661349684095,0.00010679239042683491,0.0017534923751183185,0.07526244182195574,0.00710338870807788
cooling,5,2687.5,1.0,0.0008831024169921875,1447.366893326481,5.561941171813604,351.45555505537413,2.5853068015839953,1079.9169666035496,7.69480489999801e-06,7.776955201438319,0.00011562562650150517,0.001585380205889411,0.05971708171418142,0.007841739125526435
cooling,6,2625.0,1.0,0.0009028911590576172,1448.005269575376,5.56164597184286,353.6467945891516,2.6351080419828445,1078.3226152448103,1.0255066563369958e-05,7.781476211309778,0.00012566411329700724,0.0014264693148957645,0.046862556695261987,0.008697525342981195
cooling,7,2562.5,1.0,0.0008802413940429688,1448.6846421763767,5.5613296580022125,355.9567066395828,2.6883663456406865,1076.6442587280228,1.385988701034734e-05,7.786237916990251,0.0001371298190393404,0.0012768493777424938,0.03634218661236651,0.009695399725048345
cooling,8,2500.0,1.0,0.0008771419525146484,1449.407355549395,5.560989885828044,358.3949460837838,2.745442652437294,1074.8745746071604,1.9015888830061642e-05,7.79125548111774,0.00015029622642130143,0.0011365760077663462,0.027827182872609536,0.010866445259909355
cooling,9,2437.5,1.0,0.0009148120880126953,1450.1761889670631,5.5606239548883405,360.9722620230393,2.8067485867769517,1073.0054676640138,2.6516205068822612e-05,7.79654586151127,0.00016550282615691427,0.001005668442215165,0.021017273968514414,0.01225019093690498
cooling,10,2375.0,1.0,0.0008640289306640625,1450.994402150722,5.56022873557931,363.7006531884607,2.8727554689405372,1071.027955932587,3.7626928629786866e-05,7.80212800012912,0.00018317443231574928,0.0008841072304703492,0.015640964265773886,0.013897369293088742
cooling,11,2312.5,1.0,0.0009238719940185547,1451.8657928863336,5.559800575857857,366.5935504062649,2.944005279506006,1068.9320363937286,5.441186484297406e-05,7.808023032593172,0.00020384718359754033,0.0007718319782449659,0.011455415431271276,0.01587373226508672
cooling,12,2250.0,1.0,0.0008709430694580078,1452.794768407994,5.559335180455103,369.66603173926853,3.021124079285718,1066.7065260529032,8.031171359190716e-05,7.814254519875412,0.00022820392163838837,0.000668739216169057,0.008245948500777934,0.018265395456626875
cooling,13,2187.5,1.0,0.0009372234344482422,1453.786433169128,5.558827451292264,372.9350772609141,3.1048385373946994,1064.338873001558,0.00012120361132451302,7.820848703057873,0.0002571228811954022,0.0005746804770672589,0.005825174451658059,0.021186419901982837
cooling,14,2125.0,1.0,0.0009737014770507812,1454.8466967232075,5.558271271311866,376.4198720986891,3.1959964211901704,1061.8149305525767,0.00018739324640032153,7.827834780588401,0.00029174552456606636,0.0004894606831672526,0.004031772003867084,0.02478971718438685
cooling,15,2062.5,1.0,0.0010941028594970703,1455.9824068521978,5.55765920227516,380.1421684728612,3.295592172804685,1059.1186854083837,0.00029747276869452905,7.8352452044627565,0.0003335722917021597,0.0004128369618377159,0.0027289428341658877,0.029282967905196366
cooling,16,2000.0,1.0,0.0009300708770751953,1457.201514911646,5.55698204496445,384.126719991817,3.4047990635652163,1056.2319276331452,0.00048603494076861464,7.843115985879372,0.0003845996640148135,0.0003445180253275341,0.0018025859207660316,0.034952229753762935
cooling,17,1937.5,1.0,0.0008971691131591797,1458.5132826744787,5.556228165698289,388.4018043606483,3.5250099134055652,1053.13384504369,0.0008196431758908507,7.851486989202037,0.000447519348871676,0.00028416426506611283,0.0011592436650424557,0.04219755273644994
cooling,18,1875.0,1.0,0.0008757114410400391,1459.9285426161002,5.555382397577876,392.9998534325729,3.65788902676812,1049.8005154076745,0.0014311663171626895,7.860402168936352,0.0005260124751615742,0.00023138872262386858,0.0007238819722122794,0.05158770733028714
cooling,19,1812.5,1.0,0.0008640289306640625,1461.4600256763397,5.554424106517792,397.9582105086489,3.8054388593532114,1046.2042513399203,0.0025967042210640104,7.869909652027847,0.0006251917800844147,0.00018575910511045034,0.00043757375117432713,0.06394597320568757
cooling,20,1750.0,1.0,0.0008792877197265625,1463.1227684796463,5.553323479096447,403.320028714681,3.970085951795273,1042.312711208935,0.004915893495023813,7.8800614462809415,0.0007522788424552473,0.00014680100968691626,0.00025515945400951594,0.08048754388276105
cooling,21,1687.5,1.0,0.0008301734924316406,1464.9345933308805,5.552033699185918,409.13529484746476,4.154791522216996,1038.0875855984102,0.009755998305775554,7.890912252175441,0.0009176623777793879,0.00011400250644948972,0.000142958559317871,0.10304478912710098
cooling,22,1625.0,1.0,0.0008878707885742188,1466.9165765288935,5.550472801486772,415.4618583386024,4.3631914218139976,1033.4823849169902,0.020407060973878663,7.902516034874413,0.0011365874662625152,8.682019714194392e-05,7.660177715830972e-05,0.13444594458568415
cooling,23,1562.5,1.0,0.0008308887481689453,1469.0931358894627,5.548477383352544,422.36599154649036,4.5997626684618815,1028.4380097666467,0.04527326234108283,7.914916608251804,0.0014319104111018245,6.46868146547877e-05,3.904504097663448e-05,0.17916901162599588
