quantity,value
Sossi_2020_anchor_dIW,3.5
Frost_McCammon_2008_low_dIW,1.0
Frost_McCammon_2008_high_dIW,5.0
O_kg_total_derived,1.241101774235974e+22
recovered_dIW_authoritative,3.4999999956451475
P_surf_bar_authoritative,1711.9432398006131
