T_K,dIW_dex,rank1,rank2,rank3,rank4,P_total_bar,p_H2O_bar,p_CO2_bar,p_O2_bar,p_H2_bar,p_CO_bar,p_CH4_bar,p_N2_bar,p_NH3_bar,p_S2_bar,p_SO2_bar,p_H2S_bar
1500.0,-4.0,CO,CH4,H2,CO2,1105.111828796568,0.19876641922926502,1.4417921325922605,1.4236066236851884e-16,31.039582940134895,610.007991535332,462.25087218820846,0.15984872214814386,0.004201054886999229,1.4904495646542406e-09,3.349515374659526e-12,0.008773802541963322
1500.0,-3.1818181818181817,CO,CH4,H2,CO2,1157.3905488651899,0.6760032796759806,4.428225166724167,9.366380965650692e-16,41.15577243175617,730.4183242300657,379.36103828021265,1.3030374656218158,0.018312791152551383,9.803248553659668e-09,5.651843900924589e-11,0.02983521012109124
1500.0,-2.3636363636363633,CO,CH4,H2,CO2,1237.3444553559395,1.9717528460729834,14.421449302275605,6.162453232101828e-15,46.79974874529706,927.3847768413233,242.81507577316216,3.8266070254686997,0.038054162624410574,6.44511809676689e-08,9.53459849448352e-10,0.086990594310749
1500.0,-1.5454545454545454,CO,CH4,CO2,H2,1325.3448880701478,4.148426358518369,45.94137883020546,4.0544827267982094e-14,38.38694240232168,1151.7657808091947,79.09862723997432,5.786048145857204,0.03476131990523852,4.235850828370437e-07,1.6081965147094286e-08,0.1829225245037294
1500.0,-0.7272727272727271,CO,CO2,H2,CH4,1379.6656239721576,5.320257504090552,124.36745622147025,2.667578894760756e-13,19.192956538996036,1215.5588464795233,8.135918169574873,6.842280278505089,0.013364207348853708,2.7856658588823228e-06,2.713408098153292e-07,0.23454151564164
1500.0,0.09090909090909083,CO,CO2,H2,N2,1433.8342707621148,5.518146861600686,293.5861223433019,1.755088784258409e-12,7.760890797423904,1118.7005475245458,0.47730162223734546,7.544354000704912,0.003608347400504512,1.832947329703434e-05,4.579387739112723e-06,0.2432763560367781
1500.0,0.9090909090909092,CO,CO2,N2,H2O,1515.04475964196,5.5612429198318445,602.6062145188833,1.154731223387471e-11,3.0492938270678343,895.2019608639785,0.022987120876330938,8.356723794340015,0.0009352912928753294,0.00012062233369210612,7.729085396122157e-05,0.24520339248982123
1500.0,1.7272727272727275,CO2,CO,N2,H2O,1604.779278966568,5.576937614012801,1005.926925422312,7.597360374160944e-11,1.1921537959697304,582.5898883239765,0.0008914594866344086,9.24422313188356,0.00024047148987905645,0.0007937762636305341,0.0013045030973736717,0.24592046800000028
1500.0,2.545454545454546,CO2,CO,N2,H2O,1674.136107398222,5.5833932806314035,1352.5029633989657,4.99855580985736e-10,0.4653115257600216,305.3822747967014,2.7753300208946766e-05,9.928645511298551,6.077020103913191e-05,0.0052220585884094495,0.022013989186447334,0.24619431308913386
1500.0,3.363636363636364,CO2,CO,N2,H2O,1714.8233078091139,5.5860315255809025,1560.7077170146422,3.2887159426102614e-09,0.18149224127604516,137.3840355156545,7.405334409984695e-07,10.31290143874635,1.508715960450643e-05,0.034251148446581794,0.3709345322637391,0.24592856152147435
1500.0,4.181818181818182,CO2,CO,N2,SO2,1742.4555945259776,5.587156073632631,1662.664490966332,2.1637554851043236e-08,0.07077087670451176,57.059558123719995,1.8232193633925224e-08,10.505327019373638,3.707802618680771e-06,0.21490668366073953,6.113170044668121,0.24021099021332462
1500.0,5.0,CO2,SO2,CO,N2,1846.6179358834263,5.588356201029494,1730.819807366579,1.4236066236851884e-07,0.027596686721549194,23.157129792372313,4.386408524530151e-10,10.756074793583393,9.135709415794143e-07,0.7540469960214996,75.33946648048703,0.17545651026177134
1607.142857142857,-4.0,CO,CH4,H2,CO2,1133.0598183201346,0.3718134444044422,1.5110584543440304,2.5460680085356603e-15,52.748792286296705,664.4688786807043,413.75896564553,0.18296695385436423,0.007581137452515918,2.5334539802915408e-09,1.130414243314739e-11,0.009761715003400565
