planet,H2O,CO2,H2,CO,CH4,N2,NH3,S2,SO2,H2S,P_surf_bar,M_atm_kg,mean_mol_mass_g_per_mol
Earth,5.532721547217557,174.41536220639452,6.281905367227688,1203.020290910344,0.0002562607682311394,7.312265820837597,0.0005039516357898385,0.0002149429687872966,0.0022879525400290907,0.010812568934257236,1396.5766493827286,7.261408064719091e+21,29.851812300020704
Mars,3.8300463428555394,25.854363767457915,4.348671530381811,178.32904067259253,1.8203784074143087e-05,1.0548731038914216,0.00011024548353896473,0.00015788066476571266,0.0019608747902885118,0.006415004367247879,213.42568548012923,8.307723537937283e+20,29.239786650149007
