dIW_input,dIW_recovered,residual_dex,O_kg_total
-2.0,-2.0,0.0,8.361185483294232e+21
-1.0,-0.999999999978042,2.1957990981036346e-11,8.716757874718872e+21
0.0,-2.4239756332705044e-11,-2.4239756332705044e-11,9.175348213959776e+21
1.0,1.000000000000514,5.140332604014475e-13,1.0060633268415894e+22
2.0,2.000000000000843,8.428813202954188e-13,1.1224725319924526e+22
3.0,3.0000000000008504,8.504308368628699e-13,1.2097710968412576e+22
4.0,3.9999999999988716,-1.1284306822290091e-12,1.2813978332144385e+22
